OBJECTID,landcoversLandCoverId,landcoversDataSource,landcoversMeasuredAt,siteName,landcoversMeasurementLatitude,landcoversMeasurementLongitude,elevation,landcoversMeasurementElevation,landcoversMucCode,landcoversMucDetails,landcoversMucDescription,landcoversDownwardExtraData,landcoversDownwardPhotoUrl,landcoversDryGround,landcoversEastClassifications,landcoversEastExtraData,landcoversEastPhotoUrl,landcoversFieldNotes,landcoversLeavesOnTrees,landcoversMuddy,landcoversNorthClassifications,landcoversNorthExtraData,landcoversNorthPhotoUrl,landcoversRainingSnowing,landcoversSnowIce,landcoversSouthClassifications,landcoversSouthExtraData,landcoversSouthPhotoUrl,landcoversStandingWater,landcoversUpwardExtraData,landcoversUpwardPhotoUrl,landcoversWestClassifications,landcoversWestExtraData,landcoversWestPhotoUrl
1,32868,GLOBE Observer App,6/17/20 22:48,14RPU075517,30.29240036,-97.88169861,234.5,223.1000061,null,,null,"(source: app, (compassData.horizon: -57.73620057815666))",https://data.globe.gov/system/photos/2020/06/17/1699431/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -78.65794853685335))",https://data.globe.gov/system/photos/2020/06/17/1699427/original.jpg,"Lots of adult mosquitoes despite no standing water nearby, but lots of plant clumps.",TRUE,FALSE,null,"(source: app, (compassData.horizon: -11.885498539267786))",https://data.globe.gov/system/photos/2020/06/17/1699426/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -5.827699818627067))",https://data.globe.gov/system/photos/2020/06/17/1699428/original.jpg,FALSE,"(source: app, (compassData.horizon: 47.49465266529241))",https://data.globe.gov/system/photos/2020/06/17/1699430/original.jpg,null,"(source: app, (compassData.horizon: 9.15576473888558))",https://data.globe.gov/system/photos/2020/06/17/1699429/original.jpg
2,35334,GLOBE Observer App,7/21/20 22:45,14RPU075517,30.29260063,-97.88179779,234.5,221.699997,M02,b,"Trees, Closely Spaced, Deciduous - Broad Leaved","(source: app, (compassData.horizon: -63.76213465327419))",https://data.globe.gov/system/photos/2020/07/21/1782669/original.jpg,TRUE,"70% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 50% MUC 56 [Barren, Dirt/Other]; 20% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]","(source: app, (compassData.horizon: -10.065036028998819))",https://data.globe.gov/system/photos/2020/07/21/1782665/original.jpg,Mosquito habitats near tall plants,TRUE,FALSE,"60% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 20% MUC 53 [Barren, Bare Rock]; 70% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]","(source: app, (compassData.horizon: -7.505587498425385))",https://data.globe.gov/system/photos/2020/07/21/1782664/original.jpg,FALSE,FALSE,"60% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 70% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 20% MUC 56 [Barren, Dirt/Other]","(source: app, (compassData.horizon: -38.8623106027999))",https://data.globe.gov/system/photos/2020/07/21/1782666/original.jpg,FALSE,"(source: app, (compassData.horizon: 45.30752188839049))",https://data.globe.gov/system/photos/2020/07/21/1782668/original.jpg,"70% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 70% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]","(source: app, (compassData.horizon: -1.4739523507643781))",https://data.globe.gov/system/photos/2020/07/21/1782667/original.jpg
3,32870,GLOBE Observer App,6/20/20 0:19,14RPU059516,30.29229927,-97.89839935,227,232.8000031,null,,null,"(source: app, (compassData.horizon: -89.10836915909248))",https://data.globe.gov/system/photos/2020/06/20/1699443/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -3.715214901644657))",https://data.globe.gov/system/photos/2020/06/20/1699439/original.jpg,No mosquito habitats.,TRUE,FALSE,null,"(source: app, (compassData.horizon: 1.8364057597326848))",https://data.globe.gov/system/photos/2020/06/20/1699438/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -5.522161573675518))",https://data.globe.gov/system/photos/2020/06/20/1699440/original.jpg,FALSE,"(source: app, (compassData.horizon: 88.85982699460486))",https://data.globe.gov/system/photos/2020/06/20/1699442/original.jpg,null,"(source: app, (compassData.horizon: -2.0383559176578956))",https://data.globe.gov/system/photos/2020/06/20/1699441/original.jpg
4,32872,GLOBE Observer App,6/20/20 0:51,14RPU074522,30.29700089,-97.88300323,238.699997,225.8999939,null,,null,"(source: app, (compassData.horizon: -84.061659529341))",https://data.globe.gov/system/photos/2020/06/20/1699455/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -4.368131746602458))",https://data.globe.gov/system/photos/2020/06/20/1699451/original.jpg,No mosquito habitats.,TRUE,TRUE,null,"(source: app, (compassData.horizon: -4.883872777768872))",https://data.globe.gov/system/photos/2020/06/20/1699450/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -4.338112408628348))",https://data.globe.gov/system/photos/2020/06/20/1699452/original.jpg,FALSE,"(source: app, (compassData.horizon: 87.35642437092037))",https://data.globe.gov/system/photos/2020/06/20/1699454/original.jpg,null,"(source: app, (compassData.horizon: 0.5902652456677089))",https://data.globe.gov/system/photos/2020/06/20/1699453/original.jpg
5,32873,GLOBE Observer App,6/20/20 1:19,14RPU069532,30.30590057,-97.88770294,269.2999878,273.1000061,null,,null,"(source: app, (compassData.horizon: -49.15735704038668))",https://data.globe.gov/system/photos/2020/06/20/1699461/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -3.8271224415060345))",https://data.globe.gov/system/photos/2020/06/20/1699457/original.jpg,"No still water, no mosquito habitats",TRUE,FALSE,null,"(source: app, (compassData.horizon: -1.9525777684280996))",https://data.globe.gov/system/photos/2020/06/20/1699456/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -4.915576121441816))",https://data.globe.gov/system/photos/2020/06/20/1699458/original.jpg,FALSE,"(source: app, (compassData.horizon: 32.74177182736866))",https://data.globe.gov/system/photos/2020/06/20/1699460/original.jpg,null,"(source: app, (compassData.horizon: -15.324676090325596))",https://data.globe.gov/system/photos/2020/06/20/1699459/original.jpg
6,32874,GLOBE Observer App,6/20/20 1:28,14RPU074531,30.30579948,-97.88279724,252.1000061,250.8000031,null,,null,"(source: app, (compassData.horizon: -76.81800517035228))",https://data.globe.gov/system/photos/2020/06/20/1699467/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -0.38405235429580387))",https://data.globe.gov/system/photos/2020/06/20/1699463/original.jpg,No mosquito habitats.,TRUE,FALSE,null,"(source: app, (compassData.horizon: -9.313565491535428))",https://data.globe.gov/system/photos/2020/06/20/1699462/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -0.2455064884579059))",https://data.globe.gov/system/photos/2020/06/20/1699464/original.jpg,FALSE,"(source: app, (compassData.horizon: -89.70190089837801))",https://data.globe.gov/system/photos/2020/06/20/1699466/original.jpg,null,"(source: app, (compassData.horizon: -7.039313024263663))",https://data.globe.gov/system/photos/2020/06/20/1699465/original.jpg
7,32875,GLOBE Observer App,6/20/20 1:35,14RPU064532,30.30590057,-97.89330292,281.7999878,281.2000122,null,,null,"(source: app, (compassData.horizon: -38.610654148225976))",https://data.globe.gov/system/photos/2020/06/20/1699473/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -7.1376723720183435))",https://data.globe.gov/system/photos/2020/06/20/1699469/original.jpg,"No standing water, no mosquito habitats.",TRUE,FALSE,null,"(source: app, (compassData.horizon: -6.292143075051754))",https://data.globe.gov/system/photos/2020/06/20/1699468/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -6.132250395654566))",https://data.globe.gov/system/photos/2020/06/20/1699470/original.jpg,FALSE,"(source: app, (compassData.horizon: -11.523392663405232))",https://data.globe.gov/system/photos/2020/06/20/1699472/original.jpg,null,"(source: app, (compassData.horizon: -86.2727999848464))",https://data.globe.gov/system/photos/2020/06/20/1699471/original.jpg
8,32877,GLOBE Observer App,6/18/20 22:17,11SLT924773,34.13130188,-118.1659012,223.1000061,199.5,M02,b,"Trees, Closely Spaced, Deciduous - Broad Leaved","(source: app, (compassData.horizon: -86.9))",https://data.globe.gov/system/photos/2020/06/18/1699529/original.jpg,TRUE,"60% MUC 43 [Herbaceous/Grassland, Short Grass]; 40% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]; 50% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]",(source: camera),https://data.globe.gov/system/photos/2020/06/18/1699525/original.jpg,(none),TRUE,FALSE,"30% MUC 94 [Urban, Other]; 30% MUC 56 [Barren, Dirt/Other]; 10% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 40% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 20% MUC 32 (c) [Shrubs, Closely Spaced, Short Deciduous]",(source: camera),https://data.globe.gov/system/photos/2020/06/18/1699524/original.jpg,FALSE,FALSE,"20% MUC 94 [Urban, Other]; 30% MUC 56 [Barren, Dirt/Other]; 10% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 10% MUC 43 [Herbaceous/Grassland, Short Grass]; 20% MUC 32 (c) [Shrubs, Closely Spaced, Short Deciduous]; 20% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]",(source: camera),https://data.globe.gov/system/photos/2020/06/18/1699526/original.jpg,FALSE,"(source: app, (compassData.horizon: -87.8))",https://data.globe.gov/system/photos/2020/06/18/1699528/original.jpg,"60% MUC 94 [Urban, Other]; 20% MUC 22 (c) [Shrubs, Closely Spaced, Tall Deciduous]; 30% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]",(source: camera),https://data.globe.gov/system/photos/2020/06/18/1699527/original.jpg
9,32879,GLOBE Observer App,6/18/20 22:30,11SLT930773,34.13150024,-118.1604004,248.8000031,248.1000061,M21,c,"Shrubs, Closely Spaced, Tall Evergreen","(source: app, (compassData.horizon: -89.1))",https://data.globe.gov/system/photos/2020/06/18/1699547/original.jpg,TRUE,"50% MUC 93 [Urban, Roads and Parking]; 30% MUC 31 (c) [Shrubs, Closely Spaced, Short Evergreen]; 10% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 30% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]",(source: camera),https://data.globe.gov/system/photos/2020/06/18/1699543/original.jpg,(none),TRUE,FALSE,"50% MUC 93 [Urban, Roads and Parking]; 20% MUC 91 [Urban, Residential Property]; 20% MUC 43 [Herbaceous/Grassland, Short Grass]; 10% MUC 31 (l) [Shrubs, Loosely Spaced, Short Evergreen]; 10% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]",(source: camera),https://data.globe.gov/system/photos/2020/06/18/1699542/original.jpg,FALSE,FALSE,"10% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 90% MUC 21 (c) [Shrubs, Closely Spaced, Tall Evergreen]",(source: camera),https://data.globe.gov/system/photos/2020/06/18/1699544/original.jpg,FALSE,(source: camera),https://data.globe.gov/system/photos/2020/06/18/1699546/original.jpg,"20% MUC 21 (c) [Shrubs, Closely Spaced, Tall Evergreen]; 40% MUC 93 [Urban, Roads and Parking]; 60% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]; 20% MUC 31 (c) [Shrubs, Closely Spaced, Short Evergreen]",(source: camera),https://data.globe.gov/system/photos/2020/06/18/1699545/original.jpg
10,32884,GLOBE Observer App,6/20/20 3:09,10TET723750,47.62469864,-122.0375977,133.699997,133.6000061,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699617/original.jpg,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699613/original.jpg,"No water, sunny",FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699612/original.jpg,FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699614/original.jpg,FALSE,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699616/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699615/original.jpg
