ceoPLOTID,LONGITUDE,LATITUDE,seesAOIplot,AOI_NUM,ceoPLOT_NUM,ceoTREES_CANOPYCOVER,ceoBUSH_SCRUB,ceoGRASS,ceoCultivatedVeg,ceoWaterTreatedPool,ceoWaterLakePondedContainer,ceoWaterRiverStream,ceoWaterIrrigation,ceoShadow,ceoUnknown,ceoBareGround,ceoBuilding,ceoImperviousSurface
137373185,-97.17829894,32.84687681,201,2,1,17.3553719,0,15.70247934,0,0,0,0,0,0,2.479338843,0,15.70247934,48.76033058
137373186,-97.17829894,32.85065021,202,2,2,26.44628099,0.826446281,6.611570248,0,0,0,0,0,0,1.652892562,36.36363636,14.04958678,14.04958678
137373187,-97.17829894,32.85442344,203,2,3,25.61983471,0,31.40495868,0,4.132231405,0,0,0,0,0,0,20.66115702,18.18181818
137373188,-97.17829894,32.85819652,204,2,4,40.49586777,0,8.26446281,0,0,0,0,0,0,0.826446281,0,21.48760331,28.92561983
137373189,-97.17829894,32.86196943,205,2,5,13.2231405,0.826446281,32.23140496,0,0.826446281,0,0,0,0,0,0,9.090909091,43.80165289
137373190,-97.17829894,32.86574219,206,2,6,5.785123967,0,14.04958678,0,0,0,0,0,0,0,0,47.9338843,32.23140496
137373191,-97.17380736,32.84687681,207,2,7,29.75206612,0.826446281,23.14049587,0,0,0,0,0,0,0,0,23.14049587,23.14049587
137373192,-97.17380736,32.85065021,208,2,8,23.96694215,0,12.39669421,0,0,0,0,0,0,0,21.48760331,28.92561983,13.2231405
137373193,-97.17380736,32.85442344,209,2,9,25.61983471,0,19.00826446,0,3.305785124,0,0,0,0,0,0,17.3553719,34.7107438
137373194,-97.17380736,32.85819652,210,2,10,73.55371901,0,14.87603306,0,0,0,0,0,0,0,0,3.305785124,8.26446281
137373195,-97.17380736,32.86196943,211,2,11,19.83471074,1.652892562,47.9338843,8.26446281,0,14.87603306,0,0,0,0,7.438016529,0,0
137373196,-97.17380736,32.86574219,212,2,12,1.652892562,0,20.66115702,0,0,0,0,0,0,0,0,6.611570248,71.07438017
137373197,-97.16931579,32.84687681,213,2,13,18.18181818,0,63.63636364,0,0,0,0,0,9.090909091,0,0,0,9.090909091
137373198,-97.16931579,32.85065021,214,2,14,0.826446281,0,12.39669421,0,0,0,0,0,0,0,0,20.66115702,66.11570248
137373199,-97.16931579,32.85442344,215,2,15,19.00826446,0,45.45454545,0,2.479338843,0,0,0,0,0,0,22.31404959,10.74380165
137373200,-97.16931579,32.85819652,216,2,16,59.50413223,0,36.36363636,0,0,0,0,0,0,0,0,0,4.132231405
137373201,-97.16931579,32.86196943,217,2,17,40.49586777,0.826446281,16.52892562,0,1.652892562,0,0,0,0,0,0,18.18181818,22.31404959
137373202,-97.16931579,32.86574219,218,2,18,22.31404959,3.305785124,30.5785124,0,1.652892562,0,0,0,0,0,0,14.87603306,27.27272727
137373203,-97.16482421,32.84687681,219,2,19,31.40495868,0,15.70247934,0,0.826446281,0,0,0,0.826446281,0,0,28.09917355,23.14049587
137373204,-97.16482421,32.85065021,220,2,20,21.48760331,0,42.14876033,0,2.479338843,0,0,0,0,0,0,24.79338843,9.090909091
137373205,-97.16482421,32.85442344,221,2,21,21.48760331,0,24.79338843,0,3.305785124,0,0,0,0,0,0,26.44628099,23.96694215
