OBJECTID,landcoversEastClassifications,thumbUrl,DownloadThumbPicture,EastOriginalUrl,DownloadOriginalPicture
1,null,https://data.globe.gov/system/photos/2020/06/17/1699427/thumb.jpg,golc_thumb_2020_06_17_1699427,https://data.globe.gov/system/photos/2020/06/17/1699427/original.jpg,golc_2020_06_17_1699427
2,"70% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 50% MUC 56 [Barren, Dirt/Other]; 20% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]",https://data.globe.gov/system/photos/2020/07/21/1782665/thumb.jpg,golc_thumb_2020_07_21_1782665,https://data.globe.gov/system/photos/2020/07/21/1782665/original.jpg,golc_2020_07_21_1782665
3,null,https://data.globe.gov/system/photos/2020/06/20/1699439/thumb.jpg,golc_thumb_2020_06_20_1699439,https://data.globe.gov/system/photos/2020/06/20/1699439/original.jpg,golc_2020_06_20_1699439
4,null,https://data.globe.gov/system/photos/2020/06/20/1699451/thumb.jpg,golc_thumb_2020_06_20_1699451,https://data.globe.gov/system/photos/2020/06/20/1699451/original.jpg,golc_2020_06_20_1699451
5,null,https://data.globe.gov/system/photos/2020/06/20/1699457/thumb.jpg,golc_thumb_2020_06_20_1699457,https://data.globe.gov/system/photos/2020/06/20/1699457/original.jpg,golc_2020_06_20_1699457
6,null,https://data.globe.gov/system/photos/2020/06/20/1699463/thumb.jpg,golc_thumb_2020_06_20_1699463,https://data.globe.gov/system/photos/2020/06/20/1699463/original.jpg,golc_2020_06_20_1699463
7,null,https://data.globe.gov/system/photos/2020/06/20/1699469/thumb.jpg,golc_thumb_2020_06_20_1699469,https://data.globe.gov/system/photos/2020/06/20/1699469/original.jpg,golc_2020_06_20_1699469
8,"60% MUC 43 [Herbaceous/Grassland, Short Grass]; 40% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]; 50% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]",https://data.globe.gov/system/photos/2020/06/18/1699525/thumb.jpg,golc_thumb_2020_06_18_1699525,https://data.globe.gov/system/photos/2020/06/18/1699525/original.jpg,golc_2020_06_18_1699525
9,"50% MUC 93 [Urban, Roads and Parking]; 30% MUC 31 (c) [Shrubs, Closely Spaced, Short Evergreen]; 10% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 30% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]",https://data.globe.gov/system/photos/2020/06/18/1699543/thumb.jpg,golc_thumb_2020_06_18_1699543,https://data.globe.gov/system/photos/2020/06/18/1699543/original.jpg,golc_2020_06_18_1699543
10,null,https://data.globe.gov/system/photos/2020/06/20/1699613/thumb.jpg,golc_thumb_2020_06_20_1699613,https://data.globe.gov/system/photos/2020/06/20/1699613/original.jpg,golc_2020_06_20_1699613
11,null,https://data.globe.gov/system/photos/2020/06/20/1699645/thumb.jpg,golc_thumb_2020_06_20_1699645,https://data.globe.gov/system/photos/2020/06/20/1699645/original.jpg,golc_2020_06_20_1699645
12,"80% MUC 93 [Urban, Roads and Parking]; 40% MUC 00 [Trees, Closely Spaced, Not Sure Which]; 40% MUC 43 [Herbaceous/Grassland, Short Grass]",https://data.globe.gov/system/photos/2020/06/20/1700985/thumb.jpg,golc_thumb_2020_06_20_1700985,https://data.globe.gov/system/photos/2020/06/20/1700985/original.jpg,golc_2020_06_20_1700985
