OBJECTID,FieldNotes,DryFround,LeavesOnTrees,Muddy,RainingSnowing,SnowIce,StandingWater
1,"Lots of adult mosquitoes despite no standing water nearby, but lots of plant clumps.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2,Mosquito habitats near tall plants,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
3,No mosquito habitats.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4,No mosquito habitats.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
5,"No still water, no mosquito habitats",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
6,No mosquito habitats.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
7,"No standing water, no mosquito habitats.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
8,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
10,"No water, sunny",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
11,"Sunny, small hill, drain",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Elementary school,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
13,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
14,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
15,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
16,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
18,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
19,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
20,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
21,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
22,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
23,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
24,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
25,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
26,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
27,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
28,(none),TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
29,(none),TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
30,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
31,"sunny light rain, sewer",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
32,"Sunny, windy, garbage cans",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
33,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
34,"Parking lot, drains, sunny",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
35,"Sunny, woody area",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
36,Sunny,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
37,Sunny,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
38,Sunny,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
39,Sunny,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40,"Sunny, drains",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
41,"Grassy areas, sunny",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
