OBJECTID,LandCoverID,MeasuredTime,SiteName,MeasuredLatitude,MeasuredLogitude,Elevation,MeasuredElevation,MucDescription
1,32868,6/17/20 22:48,14RPU075517,30.29240036,-97.88169861,234.5,223.1000061,null
2,35334,7/21/20 22:45,14RPU075517,30.29260063,-97.88179779,234.5,221.699997,"Trees, Closely Spaced, Deciduous - Broad Leaved"
3,32870,6/20/20 0:19,14RPU059516,30.29229927,-97.89839935,227,232.8000031,null
4,32872,6/20/20 0:51,14RPU074522,30.29700089,-97.88300323,238.699997,225.8999939,null
5,32873,6/20/20 1:19,14RPU069532,30.30590057,-97.88770294,269.2999878,273.1000061,null
6,32874,6/20/20 1:28,14RPU074531,30.30579948,-97.88279724,252.1000061,250.8000031,null
7,32875,6/20/20 1:35,14RPU064532,30.30590057,-97.89330292,281.7999878,281.2000122,null
8,32877,6/18/20 22:17,11SLT924773,34.13130188,-118.1659012,223.1000061,199.5,"Trees, Closely Spaced, Deciduous - Broad Leaved"
9,32879,6/18/20 22:30,11SLT930773,34.13150024,-118.1604004,248.8000031,248.1000061,"Shrubs, Closely Spaced, Tall Evergreen"
10,32884,6/20/20 3:09,10TET723750,47.62469864,-122.0375977,133.699997,133.6000061,null
11,32888,6/20/20 3:30,10TET722756,47.63010025,-122.0381012,145.5,138.8999939,null
12,32899,6/20/20 16:40,14RPU056597,30.36499977,-97.90059662,246.1000061,246.6000061,"Urban, Roads and Parking"
13,32900,6/20/20 16:44,14RPU051597,30.36490059,-97.90540314,228.1000061,231.199997,"Urban, Residential Property"
14,32901,6/20/20 16:48,14RPU052592,30.36070061,-97.90519714,237.6000061,231.8999939,"Trees, Loosely Spaced, Not Sure Which"
15,32902,6/20/20 16:52,14RPU056592,30.36050034,-97.90070343,237.1000061,237.3999939,"Urban, Residential Property"
16,35292,7/13/20 0:54,14RPU056592,30.36070061,-97.90049744,237.1000061,239.1000061,null
17,32903,6/20/20 16:54,14RPU059592,30.36030006,-97.89730072,238,238.6000061,"Urban, Roads and Parking"
18,33254,6/22/20 23:14,14RPU059592,30.36050034,-97.89720154,238,239.6000061,null
19,32904,6/20/20 16:59,14RPU060596,30.36429977,-97.89640045,238.8999939,238.699997,"Urban, Residential Property"
20,32922,6/20/20 19:01,10SEG844293,37.30699921,-122.0473023,108.5999985,107.199997,null
21,32923,6/20/20 19:20,10SEG839298,37.31119919,-122.0525971,109.5999985,107.199997,null
22,32924,6/20/20 19:33,10SEG839302,37.31539917,-122.0529022,106.9000015,106.5999985,null
23,32925,6/20/20 19:44,10SEG834302,37.31560135,-122.058403,115.9000015,112.8000031,null
24,32926,6/20/20 19:55,10SEG834298,37.31159973,-122.0587997,118.3000031,117.5,null
25,32927,6/20/20 20:07,10SEG834293,37.30680084,-122.058197,133.3000031,127.199997,null
26,32928,6/20/20 20:19,10SEG839293,37.30670166,-122.052803,120.3000031,119.0999985,null
27,32938,6/21/20 0:31,16SGC455673,34.0182991,-84.34059906,287.1000061,291.2000122,null
28,32940,6/21/20 0:39,16SGC449673,34.01860046,-84.34750366,286.7999878,298.1000061,null
29,32941,6/21/20 0:50,16SGC434671,34.01710129,-84.36309814,315.2000122,313.7000122,null
30,32942,6/21/20 1:07,15RTN648973,29.78389931,-95.43260193,18.5,18.700000760000002,null
31,32970,6/21/20 1:59,10TET719745,47.62070084,-122.0430985,182.1000061,183.6000061,null
32,32983,6/21/20 2:27,10TET728738,47.61380005,-122.0299988,112.699997,111.3000031,null
33,33001,6/21/20 14:49,18SUJ057269,39.07030106,-77.24500275,92.30000305,96.5,null
34,32984,6/21/20 2:33,10TET726741,47.61640167,-122.0332031,107.699997,107.9000015,null
35,32985,6/21/20 2:37,10TET731741,47.61619949,-122.026001,108.5999985,108.9000015,null
36,32980,6/21/20 2:42,10TET732745,47.61999893,-122.0258026,117.199997,116.4000015,null
37,32986,6/21/20 2:45,10TET729748,47.62250137,-122.0294037,135.3999939,135,null
38,32987,6/21/20 2:49,10TET731751,47.62519836,-122.0268021,123.8000031,122.5,null
39,32993,6/21/20 2:54,10TET726750,47.625,-122.0329971,129.8000031,133.8000031,null
40,32989,6/21/20 2:57,10TET727746,47.62080002,-122.0322037,125.9000015,125.4000015,null
41,32994,6/21/20 3:03,10TET722740,47.61600113,-122.0382004,107.5,109.3000031,null
42,32995,6/21/20 3:08,10TET722745,47.62060165,-122.0382996,167.8999939,160.6000061,null
43,33023,6/21/20 14:52,18SUJ060266,39.06769943,-77.24210358,110,112.8000031,null
44,33003,6/21/20 14:55,18SUJ062259,39.06140137,-77.23989868,90.69999695,88.19999695,null
45,33007,6/21/20 15:04,18SUJ060251,39.0542984,-77.24120331,96.19999695,96.09999847,null
46,33008,6/21/20 15:12,18SUJ057249,39.0522995,-77.24520111,97.09999847,100.5999985,null
47,33012,6/21/20 15:25,18SUJ043250,39.05250168,-77.26080322,86.59999847,93,null
48,33013,6/21/20 15:27,18SUJ047252,39.05490112,-77.25679779,90.5,89.40000153,null
49,33015,6/21/20 15:34,18SUJ042255,39.05699921,-77.26249695,96.09999847,96.40000153,null
50,33016,6/21/20 15:36,18SUJ042257,39.05870056,-77.26190186,99.5,101.4000015,null
51,33018,6/21/20 15:42,18SUJ046259,39.06100082,-77.25730133,88.19999695,91.69999695,null
52,33051,6/21/20 15:03,16SDB923782,33.24290085,-87.08249664,176.199997,172.3000031,null
53,33054,6/21/20 16:44,16SDB940789,33.24940109,-87.06390381,167.3999939,171.3000031,null
54,33055,6/21/20 16:58,16SDB945793,33.25270081,-87.0585022,182,185.699997,null
55,33056,6/21/20 17:43,16SDB944789,33.24959946,-87.05909729,192.8999939,189.3999939,null
56,33057,6/21/20 17:57,16SDB939784,33.24509811,-87.06529999,168.6000061,178.5,null
57,33059,6/21/20 19:19,16SDB931784,33.24499893,-87.07350159,169.199997,169.3000031,null
58,33085,6/21/20 21:04,10TET734737,47.61309814,-122.0220032,107.4000015,107.699997,null
