OBJECTID,BreedingGroundEliminated,Comments,Genus,LarvaeCount,LastIdentifyStage,Adults,Eggs,Pupae,Species,WaterSource,WaterSourceType
1,FALSE,null,null,null,identify,null,null,FALSE,null,can or bottle,container: artificial
2,FALSE,null,null,null,identify-later,null,null,FALSE,null,adult mosquito trap,container: artificial
3,FALSE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
4,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
5,FALSE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
6,FALSE,null,null,null,identify,null,null,FALSE,null,pond,still: lake/pond/swamp
7,FALSE,Pond water,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
8,FALSE,null,null,null,identify,null,null,FALSE,null,pond,still: lake/pond/swamp
9,FALSE,null,null,null,identify,null,null,FALSE,null,ditch,still: lake/pond/swamp
10,FALSE,null,null,null,identify,null,null,FALSE,null,ditch,still: lake/pond/swamp
11,FALSE,null,null,null,identify,null,null,FALSE,null,ditch,still: lake/pond/swamp
12,FALSE,There’s larvae of all sizes.,null,null,identify-saddle-comb,TRUE,FALSE,FALSE,null,"cement, metal or plastic tank",container: artificial
13,FALSE,"Mosquito traps were just placed, so I will photograph them collectively this first time, then individually for each 5-10 day observation.",null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
14,FALSE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
15,FALSE,null,Aedes,20,identify-aedes-tuft,TRUE,FALSE,FALSE,null,adult mosquito trap,container: artificial
16,FALSE,Large numbers of identical unknown species in jar.,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
17,FALSE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
18,FALSE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
19,FALSE,null,Aedes,20,identify-aedes-tuft,TRUE,FALSE,FALSE,null,adult mosquito trap,container: artificial
20,FALSE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
21,FALSE,null,null,null,identify,null,null,FALSE,null,pond,still: lake/pond/swamp
22,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,lake,still: lake/pond/swamp
23,FALSE,"I have recently moved the traps to a new location, due to my family going on vacation.",null,null,identify,null,null,FALSE,null,other,container: artificial
24,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
25,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
26,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
27,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
28,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
29,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
30,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
31,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
32,FALSE,"I think it’s part of a larvae that’s I broke, but I’m not sure.",null,1,identify-verify-larva,FALSE,FALSE,FALSE,null,other,container: artificial
33,FALSE,null,null,0,identify,FALSE,TRUE,FALSE,null,other,container: artificial
34,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
35,FALSE,null,null,1,identify-verify-larva,FALSE,FALSE,FALSE,null,other,container: artificial
36,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
37,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
38,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
39,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
40,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
41,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
42,FALSE,null,null,1,identify-verify-larva,FALSE,TRUE,FALSE,null,other,container: artificial
43,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
44,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
45,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
46,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
