OBJECTID,MapperId,MeasuredTime,siteName,elevation,MeasuredLatitude,MeasuredLongitude
1,23793,6/7/20 19:52,14RPU075612,273.6000061,30.37870026,-97.88050079
2,24628,7/14/20 0:00,14RPU075612,273.6000061,30.37870026,-97.88030243
3,24630,7/14/20 0:03,14RPU075612,273.6000061,30.37859917,-97.88020325
4,24629,7/14/20 0:01,14RPU075612,273.6000061,30.37870026,-97.88020325
5,24631,7/14/20 0:06,14RPU075612,273.6000061,30.37859917,-97.88020325
6,23799,6/24/20 14:13,14SQB138713,226.199997,33.159599299999996,-96.70670319
7,24958,7/21/20 14:51,14SQB126721,221.8999939,33.16759872,-96.71959686
8,23802,6/24/20 15:13,14SQB135729,232.1000061,33.1739006,-96.70960236
9,23805,6/25/20 0:45,15RTN654970,16.10000038,29.78199959,-95.42669678
10,24153,7/3/20 1:12,15RTN654970,16.10000038,29.78160095,-95.4265976
11,24271,7/6/20 0:49,15RTN654970,16.10000038,29.78199959,-95.42669678
12,23971,6/29/20 20:04,19QFV960942,28.700000760000002,18.02779961,-67.14769745
13,24621,7/9/20 1:14,14RPU070592,241.199997,30.36070061,-97.88639832
14,24837,7/17/20 20:35,14RPU070592,241.199997,30.36079979,-97.88610077
15,25023,7/17/20 20:38,14RPU070592,241.199997,30.36050034,-97.88629913
16,24839,7/17/20 20:36,14RPU070592,241.199997,30.36079979,-97.88619995
17,25021,7/17/20 20:43,14RPU070592,241.199997,30.36079979,-97.8864975
18,25020,7/17/20 20:41,14RPU070592,241.199997,30.36059952,-97.88639832
19,25024,7/22/20 6:07,14RPU070592,241.199997,30.36070061,-97.88639832
20,23926,6/28/20 19:39,14RPU060599,247.199997,30.36639977,-97.89649963
21,23927,6/28/20 19:50,14RPU055605,224.5,30.37249947,-97.90149689
22,24968,7/21/20 15:36,16TDM019243,207.1000061,41.76499939,-88.17939758
23,23965,6/24/20 15:41,18SWJ129120,2.29999995,38.95709991,-74.85099792
24,23968,6/24/20 15:50,18SWJ129120,2.29999995,38.9571991,-74.85099792
25,23969,6/24/20 15:53,18SWJ129120,2.29999995,38.95729828,-74.85109711
26,23970,6/24/20 15:39,18SWJ129120,2.29999995,38.9571991,-74.85099792
27,24117,6/28/20 14:33,18SWJ129120,2.29999995,38.95729828,-74.85109711
28,24116,6/28/20 14:30,18SWJ129120,2.29999995,38.95729828,-74.85109711
29,24120,6/28/20 14:48,18SWJ129120,2.29999995,38.9571991,-74.85109711
30,24119,6/28/20 14:45,18SWJ129120,2.29999995,38.9571991,-74.85109711
31,24118,6/29/20 2:38,18SWJ129120,2.29999995,38.9571991,-74.85109711
32,24122,6/30/20 22:40,18SWJ129120,2.29999995,38.9571991,-74.85109711
33,24124,6/30/20 22:50,18SWJ129120,2.29999995,38.9571991,-74.85109711
