OBJECTID,AbdomenCloseup,AbdomenCloseupPhotoUrls,LarvaFullBody,LarvaFullBodyPhotoUrls,WaterSource,WaterSourcePhotoUrls
1,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/07/1712789/original.jpg
1,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/07/1712790/original.jpg
1,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/06/07/1712791/original.jpg
2,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/14/1757597/original.jpg
2,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/14/1757598/original.jpg
2,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/07/14/1757599/original.jpg
3,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/14/1757603/original.jpg
3,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/14/1757604/original.jpg
3,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/07/14/1757605/original.jpg
4,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/14/1757600/original.jpg
4,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/14/1757601/original.jpg
4,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/07/14/1757602/original.jpg
5,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/14/1757606/original.jpg
5,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/14/1757607/original.jpg
5,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/07/14/1757608/original.jpg
6,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/24/1712967/original.jpg
6,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/24/1712968/original.jpg
7,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/21/1780958/original.jpg
8,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/24/1712971/original.jpg
9,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/25/1713313/original.jpg
10,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/03/1731624/original.jpg
10,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/03/1731625/original.jpg
11,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/06/1737795/original.jpg
11,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/06/1737796/original.jpg
12,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1724942/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1724941/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1724939/original.jpg
12,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1724942/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1724941/original.jpg,Water2, https://data.globe.gov/system/photos/2020/06/29/1724940/original.jpg
13,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/09/1757280/original.jpg
13,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/09/1757281/original.jpg
14,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/17/1771904/original.jpg
14,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/17/1771905/original.jpg
16,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/17/1771908/original.jpg
16,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/17/1771909/original.jpg
17,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/17/1783129/original.jpg
17,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/17/1783130/original.jpg
18,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/17/1783126/original.jpg
18,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/17/1783127/original.jpg
18,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/07/17/1783128/original.jpg
19,Abdomen1,https://data.globe.gov/system/photos/2020/07/22/1783147/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/07/22/1783142/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/22/1783141/original.jpg
