OBJECTID,landcoversNorthClassifications,thumbUrl,DownloadThumbPicture,NorthOriginalUrl,DownloadOriginalPicture
1,null,https://data.globe.gov/system/photos/2020/06/17/1699426/thumb.jpg,golc_thumb_2020_06_17_1699426,https://data.globe.gov/system/photos/2020/06/17/1699426/original.jpg,golc_2020_06_17_1699426
2,"60% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 20% MUC 53 [Barren, Bare Rock]; 70% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]",https://data.globe.gov/system/photos/2020/07/21/1782664/thumb.jpg,golc_thumb_2020_07_21_1782664,https://data.globe.gov/system/photos/2020/07/21/1782664/original.jpg,golc_2020_07_21_1782664
3,null,https://data.globe.gov/system/photos/2020/06/20/1699438/thumb.jpg,golc_thumb_2020_06_20_1699438,https://data.globe.gov/system/photos/2020/06/20/1699438/original.jpg,golc_2020_06_20_1699438
4,null,https://data.globe.gov/system/photos/2020/06/20/1699450/thumb.jpg,golc_thumb_2020_06_20_1699450,https://data.globe.gov/system/photos/2020/06/20/1699450/original.jpg,golc_2020_06_20_1699450
5,null,https://data.globe.gov/system/photos/2020/06/20/1699456/thumb.jpg,golc_thumb_2020_06_20_1699456,https://data.globe.gov/system/photos/2020/06/20/1699456/original.jpg,golc_2020_06_20_1699456
6,null,https://data.globe.gov/system/photos/2020/06/20/1699462/thumb.jpg,golc_thumb_2020_06_20_1699462,https://data.globe.gov/system/photos/2020/06/20/1699462/original.jpg,golc_2020_06_20_1699462
7,null,https://data.globe.gov/system/photos/2020/06/20/1699468/thumb.jpg,golc_thumb_2020_06_20_1699468,https://data.globe.gov/system/photos/2020/06/20/1699468/original.jpg,golc_2020_06_20_1699468
8,"30% MUC 94 [Urban, Other]; 30% MUC 56 [Barren, Dirt/Other]; 10% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 40% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 20% MUC 32 (c) [Shrubs, Closely Spaced, Short Deciduous]",https://data.globe.gov/system/photos/2020/06/18/1699524/thumb.jpg,golc_thumb_2020_06_18_1699524,https://data.globe.gov/system/photos/2020/06/18/1699524/original.jpg,golc_2020_06_18_1699524
9,"50% MUC 93 [Urban, Roads and Parking]; 20% MUC 91 [Urban, Residential Property]; 20% MUC 43 [Herbaceous/Grassland, Short Grass]; 10% MUC 31 (l) [Shrubs, Loosely Spaced, Short Evergreen]; 10% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]",https://data.globe.gov/system/photos/2020/06/18/1699542/thumb.jpg,golc_thumb_2020_06_18_1699542,https://data.globe.gov/system/photos/2020/06/18/1699542/original.jpg,golc_2020_06_18_1699542
10,null,https://data.globe.gov/system/photos/2020/06/20/1699612/thumb.jpg,golc_thumb_2020_06_20_1699612,https://data.globe.gov/system/photos/2020/06/20/1699612/original.jpg,golc_2020_06_20_1699612
11,null,https://data.globe.gov/system/photos/2020/06/20/1699644/thumb.jpg,golc_thumb_2020_06_20_1699644,https://data.globe.gov/system/photos/2020/06/20/1699644/original.jpg,golc_2020_06_20_1699644
12,"60% MUC 92 [Urban, Commercial Property]; 50% MUC 93 [Urban, Roads and Parking]; 40% MUC 43 [Herbaceous/Grassland, Short Grass]; 10% MUC 1 [Trees, Loosely Spaced, Not Sure Which]",https://data.globe.gov/system/photos/2020/06/20/1700984/thumb.jpg,golc_thumb_2020_06_20_1700984,https://data.globe.gov/system/photos/2020/06/20/1700984/original.jpg,golc_2020_06_20_1700984
