OBJECTID,landcoversSouthClassifications,thumbUrl,DownloadThumbPicture,SouthOriginalUrl,DownloadOriginalPicture
1,null,https://data.globe.gov/system/photos/2020/06/17/1699428/thumb.jpg,golc_thumb_2020_06_17_1699428,https://data.globe.gov/system/photos/2020/06/17/1699428/original.jpg,golc_2020_06_17_1699428
2,"60% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 70% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 20% MUC 56 [Barren, Dirt/Other]",https://data.globe.gov/system/photos/2020/07/21/1782666/thumb.jpg,golc_thumb_2020_07_21_1782666,https://data.globe.gov/system/photos/2020/07/21/1782666/original.jpg,golc_2020_07_21_1782666
3,null,https://data.globe.gov/system/photos/2020/06/20/1699440/thumb.jpg,golc_thumb_2020_06_20_1699440,https://data.globe.gov/system/photos/2020/06/20/1699440/original.jpg,golc_2020_06_20_1699440
4,null,https://data.globe.gov/system/photos/2020/06/20/1699452/thumb.jpg,golc_thumb_2020_06_20_1699452,https://data.globe.gov/system/photos/2020/06/20/1699452/original.jpg,golc_2020_06_20_1699452
5,null,https://data.globe.gov/system/photos/2020/06/20/1699458/thumb.jpg,golc_thumb_2020_06_20_1699458,https://data.globe.gov/system/photos/2020/06/20/1699458/original.jpg,golc_2020_06_20_1699458
6,null,https://data.globe.gov/system/photos/2020/06/20/1699464/thumb.jpg,golc_thumb_2020_06_20_1699464,https://data.globe.gov/system/photos/2020/06/20/1699464/original.jpg,golc_2020_06_20_1699464
7,null,https://data.globe.gov/system/photos/2020/06/20/1699470/thumb.jpg,golc_thumb_2020_06_20_1699470,https://data.globe.gov/system/photos/2020/06/20/1699470/original.jpg,golc_2020_06_20_1699470
8,"20% MUC 94 [Urban, Other]; 30% MUC 56 [Barren, Dirt/Other]; 10% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 10% MUC 43 [Herbaceous/Grassland, Short Grass]; 20% MUC 32 (c) [Shrubs, Closely Spaced, Short Deciduous]; 20% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]",https://data.globe.gov/system/photos/2020/06/18/1699526/thumb.jpg,golc_thumb_2020_06_18_1699526,https://data.globe.gov/system/photos/2020/06/18/1699526/original.jpg,golc_2020_06_18_1699526
9,"10% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 90% MUC 21 (c) [Shrubs, Closely Spaced, Tall Evergreen]",https://data.globe.gov/system/photos/2020/06/18/1699544/thumb.jpg,golc_thumb_2020_06_18_1699544,https://data.globe.gov/system/photos/2020/06/18/1699544/original.jpg,golc_2020_06_18_1699544
10,null,https://data.globe.gov/system/photos/2020/06/20/1699614/thumb.jpg,golc_thumb_2020_06_20_1699614,https://data.globe.gov/system/photos/2020/06/20/1699614/original.jpg,golc_2020_06_20_1699614
11,null,https://data.globe.gov/system/photos/2020/06/20/1699646/thumb.jpg,golc_thumb_2020_06_20_1699646,https://data.globe.gov/system/photos/2020/06/20/1699646/original.jpg,golc_2020_06_20_1699646
12,"50% MUC 92 [Urban, Commercial Property]; 60% MUC 43 [Herbaceous/Grassland, Short Grass]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]",https://data.globe.gov/system/photos/2020/06/20/1700986/thumb.jpg,golc_thumb_2020_06_20_1700986,https://data.globe.gov/system/photos/2020/06/20/1700986/original.jpg,golc_2020_06_20_1700986
13,"90% MUC 93 [Urban, Roads and Parking]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]",https://data.globe.gov/system/photos/2020/06/20/1700992/thumb.jpg,golc_thumb_2020_06_20_1700992,https://data.globe.gov/system/photos/2020/06/20/1700992/original.jpg,golc_2020_06_20_1700992
14,"50% MUC 93 [Urban, Roads and Parking]; 50% MUC 1 [Trees, Loosely Spaced, Not Sure Which]",https://data.globe.gov/system/photos/2020/06/20/1700998/thumb.jpg,golc_thumb_2020_06_20_1700998,https://data.globe.gov/system/photos/2020/06/20/1700998/original.jpg,golc_2020_06_20_1700998
15,"60% MUC 91 [Urban, Residential Property]; 40% MUC 93 [Urban, Roads and Parking]",https://data.globe.gov/system/photos/2020/06/20/1701004/thumb.jpg,golc_thumb_2020_06_20_1701004,https://data.globe.gov/system/photos/2020/06/20/1701004/original.jpg,golc_2020_06_20_1701004
16,null,https://data.globe.gov/system/photos/2020/07/13/1782059/thumb.jpg,golc_thumb_2020_07_13_1782059,https://data.globe.gov/system/photos/2020/07/13/1782059/original.jpg,golc_2020_07_13_1782059
17,"70% MUC 93 [Urban, Roads and Parking]; 30% MUC 1 [Trees, Loosely Spaced, Not Sure Which]",https://data.globe.gov/system/photos/2020/06/20/1701010/thumb.jpg,golc_thumb_2020_06_20_1701010,https://data.globe.gov/system/photos/2020/06/20/1701010/original.jpg,golc_2020_06_20_1701010
18,null,null,null,null,null
19,"80% MUC 43 [Herbaceous/Grassland, Short Grass]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]",https://data.globe.gov/system/photos/2020/06/20/1701016/thumb.jpg,golc_thumb_2020_06_20_1701016,https://data.globe.gov/system/photos/2020/06/20/1701016/original.jpg,golc_2020_06_20_1701016
20,null,https://data.globe.gov/system/photos/2020/06/20/1701522/thumb.jpg,golc_thumb_2020_06_20_1701522,https://data.globe.gov/system/photos/2020/06/20/1701522/original.jpg,golc_2020_06_20_1701522
21,null,https://data.globe.gov/system/photos/2020/06/20/1701534/thumb.jpg,golc_thumb_2020_06_20_1701534,https://data.globe.gov/system/photos/2020/06/20/1701534/original.jpg,golc_2020_06_20_1701534
22,null,https://data.globe.gov/system/photos/2020/06/20/1701540/thumb.jpg,golc_thumb_2020_06_20_1701540,https://data.globe.gov/system/photos/2020/06/20/1701540/original.jpg,golc_2020_06_20_1701540
23,null,https://data.globe.gov/system/photos/2020/06/20/1701546/thumb.jpg,golc_thumb_2020_06_20_1701546,https://data.globe.gov/system/photos/2020/06/20/1701546/original.jpg,golc_2020_06_20_1701546
24,null,https://data.globe.gov/system/photos/2020/06/20/1701552/thumb.jpg,golc_thumb_2020_06_20_1701552,https://data.globe.gov/system/photos/2020/06/20/1701552/original.jpg,golc_2020_06_20_1701552
25,null,https://data.globe.gov/system/photos/2020/06/20/1701558/thumb.jpg,golc_thumb_2020_06_20_1701558,https://data.globe.gov/system/photos/2020/06/20/1701558/original.jpg,golc_2020_06_20_1701558
26,null,https://data.globe.gov/system/photos/2020/06/20/1701564/thumb.jpg,golc_thumb_2020_06_20_1701564,https://data.globe.gov/system/photos/2020/06/20/1701564/original.jpg,golc_2020_06_20_1701564
27,null,https://data.globe.gov/system/photos/2020/06/21/1701666/thumb.jpg,golc_thumb_2020_06_21_1701666,https://data.globe.gov/system/photos/2020/06/21/1701666/original.jpg,golc_2020_06_21_1701666
