OBJECTID,landcoversWestClassifications,thumbUrl,DownloadThumbPicture,WestOriginalUrl,DownloadOriginalPicture
1,null,https://data.globe.gov/system/photos/2020/06/17/1699429/thumb.jpg,golc_thumb_2020_06_17_1699429,https://data.globe.gov/system/photos/2020/06/17/1699429/original.jpg,golc_2020_06_17_1699429
2,"70% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 70% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]",https://data.globe.gov/system/photos/2020/07/21/1782667/thumb.jpg,golc_thumb_2020_07_21_1782667,https://data.globe.gov/system/photos/2020/07/21/1782667/original.jpg,golc_2020_07_21_1782667
3,null,https://data.globe.gov/system/photos/2020/06/20/1699441/thumb.jpg,golc_thumb_2020_06_20_1699441,https://data.globe.gov/system/photos/2020/06/20/1699441/original.jpg,golc_2020_06_20_1699441
4,null,https://data.globe.gov/system/photos/2020/06/20/1699453/thumb.jpg,golc_thumb_2020_06_20_1699453,https://data.globe.gov/system/photos/2020/06/20/1699453/original.jpg,golc_2020_06_20_1699453
5,null,https://data.globe.gov/system/photos/2020/06/20/1699459/thumb.jpg,golc_thumb_2020_06_20_1699459,https://data.globe.gov/system/photos/2020/06/20/1699459/original.jpg,golc_2020_06_20_1699459
6,null,https://data.globe.gov/system/photos/2020/06/20/1699465/thumb.jpg,golc_thumb_2020_06_20_1699465,https://data.globe.gov/system/photos/2020/06/20/1699465/original.jpg,golc_2020_06_20_1699465
7,null,https://data.globe.gov/system/photos/2020/06/20/1699471/thumb.jpg,golc_thumb_2020_06_20_1699471,https://data.globe.gov/system/photos/2020/06/20/1699471/original.jpg,golc_2020_06_20_1699471
8,"60% MUC 94 [Urban, Other]; 20% MUC 22 (c) [Shrubs, Closely Spaced, Tall Deciduous]; 30% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]",https://data.globe.gov/system/photos/2020/06/18/1699527/thumb.jpg,golc_thumb_2020_06_18_1699527,https://data.globe.gov/system/photos/2020/06/18/1699527/original.jpg,golc_2020_06_18_1699527
9,"20% MUC 21 (c) [Shrubs, Closely Spaced, Tall Evergreen]; 40% MUC 93 [Urban, Roads and Parking]; 60% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]; 20% MUC 31 (c) [Shrubs, Closely Spaced, Short Evergreen]",https://data.globe.gov/system/photos/2020/06/18/1699545/thumb.jpg,golc_thumb_2020_06_18_1699545,https://data.globe.gov/system/photos/2020/06/18/1699545/original.jpg,golc_2020_06_18_1699545
10,null,https://data.globe.gov/system/photos/2020/06/20/1699615/thumb.jpg,golc_thumb_2020_06_20_1699615,https://data.globe.gov/system/photos/2020/06/20/1699615/original.jpg,golc_2020_06_20_1699615
11,null,https://data.globe.gov/system/photos/2020/06/20/1699647/thumb.jpg,golc_thumb_2020_06_20_1699647,https://data.globe.gov/system/photos/2020/06/20/1699647/original.jpg,golc_2020_06_20_1699647
12,"40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]; 80% MUC 93 [Urban, Roads and Parking]",https://data.globe.gov/system/photos/2020/06/20/1700987/thumb.jpg,golc_thumb_2020_06_20_1700987,https://data.globe.gov/system/photos/2020/06/20/1700987/original.jpg,golc_2020_06_20_1700987
13,"90% MUC 91 [Urban, Residential Property]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]",https://data.globe.gov/system/photos/2020/06/20/1700993/thumb.jpg,golc_thumb_2020_06_20_1700993,https://data.globe.gov/system/photos/2020/06/20/1700993/original.jpg,golc_2020_06_20_1700993
14,"70% MUC 1 [Trees, Loosely Spaced, Not Sure Which]; 50% MUC 43 [Herbaceous/Grassland, Short Grass]; 30% MUC 93 [Urban, Roads and Parking]",https://data.globe.gov/system/photos/2020/06/20/1700999/thumb.jpg,golc_thumb_2020_06_20_1700999,https://data.globe.gov/system/photos/2020/06/20/1700999/original.jpg,golc_2020_06_20_1700999
15,"60% MUC 93 [Urban, Roads and Parking]; 40% MUC 43 [Herbaceous/Grassland, Short Grass]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]",https://data.globe.gov/system/photos/2020/06/20/1701005/thumb.jpg,golc_thumb_2020_06_20_1701005,https://data.globe.gov/system/photos/2020/06/20/1701005/original.jpg,golc_2020_06_20_1701005
16,null,https://data.globe.gov/system/photos/2020/07/13/1782060/thumb.jpg,golc_thumb_2020_07_13_1782060,https://data.globe.gov/system/photos/2020/07/13/1782060/original.jpg,golc_2020_07_13_1782060
17,"70% MUC 93 [Urban, Roads and Parking]; 40% MUC 00 [Trees, Closely Spaced, Not Sure Which]",https://data.globe.gov/system/photos/2020/06/20/1701011/thumb.jpg,golc_thumb_2020_06_20_1701011,https://data.globe.gov/system/photos/2020/06/20/1701011/original.jpg,golc_2020_06_20_1701011
18,null,https://data.globe.gov/system/photos/2020/06/22/1706943/thumb.jpg,golc_thumb_2020_06_22_1706943,https://data.globe.gov/system/photos/2020/06/22/1706943/original.jpg,golc_2020_06_22_1706943
